City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Sabla,NG,12.7525,4.7077,94.33,32,100,4.9,overcast clouds
249,Nouadhibou,MR,20.931,-17.0347,80.58,57,43,13.8,scattered clouds
250,Palmer,US,42.1584,-72.3287,75.38,61,20,4.61,few clouds
251,Nouakchott,MR,18.0858,-15.9785,87.73,71,62,9.75,broken clouds
252,Saint-Augustin,CA,51.226,-58.6502,52.7,40,63,15.46,broken clouds
253,Fare,PF,-16.7,-151.0167,77.92,76,7,9.06,clear sky
254,Dimapur,IN,25.9,93.7333,73.89,97,2,1.57,clear sky
255,Nishihara,JP,26.1842,127.7558,80.65,81,90,16.11,overcast clouds
256,Humaita,BR,-7.5061,-63.0208,98.91,35,32,1.61,scattered clouds
257,Faanui,PF,-16.4833,-151.75,78.13,75,22,10.22,few clouds
258,Pemangkat,ID,1.1667,108.9667,79.81,84,39,8.93,scattered clouds
259,Faya,SA,18.3851,42.4509,73.51,35,59,11.65,broken clouds
260,Kavieng,PG,-2.5744,150.7967,80.64,77,26,4.88,scattered clouds
261,Coracao De Jesus,BR,-16.6853,-44.365,93.92,20,37,5.35,scattered clouds
262,Visby,SE,57.6409,18.296,52.05,100,90,3.44,fog
263,Lima,PE,-12.0432,-77.0282,66.13,91,75,1.01,broken clouds
264,Mustasaari,FI,63.1142,21.6822,48.88,93,0,8.05,clear sky
265,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,80,40,4.47,scattered clouds
266,Broome,US,42.2506,-75.833,75.06,68,40,1.99,scattered clouds
267,Nizhniy Tsasuchey,RU,50.5167,115.1333,38.28,44,89,2.24,overcast clouds
268,Camargo,MX,27.6667,-105.1667,80.33,34,0,6.6,clear sky
269,Banjar,ID,-8.19,114.9675,75.06,86,22,6.85,few clouds
270,Belfast,GB,54.5833,-5.9333,65.12,90,90,11.5,overcast clouds
271,Namatanai,PG,-3.6667,152.4333,78.26,83,70,4.45,broken clouds
272,Ochakiv,UA,46.6128,31.5498,53.74,50,19,18.92,few clouds
273,Morro Bay,US,35.3658,-120.8499,65.39,80,88,1.99,overcast clouds
274,Muzhi,RU,65.3667,64.6667,48.51,67,100,19.91,overcast clouds
275,Harrison,US,30.4091,-89.0436,86.31,62,20,8.05,few clouds
276,Tsabong,BW,-26.0217,22.401,75.58,36,19,7.31,few clouds
277,Lata,PT,40.1629,-8.3327,81.05,40,0,5.12,clear sky
278,Te Anau,NZ,-45.4167,167.7167,49.23,95,100,2.66,overcast clouds
279,Yarada,IN,17.65,83.2667,84.52,84,40,2.3,thunderstorm
280,Karera,IN,25.4667,78.15,80.74,51,35,2.57,scattered clouds
281,Southbridge,US,42.0751,-72.0334,74.97,69,0,3.06,clear sky
282,Kaitangata,NZ,-46.2817,169.8464,46.99,91,53,3.47,broken clouds
283,Rio Gallegos,AR,-51.6226,-69.2181,55.45,38,0,4.61,clear sky
284,Asau,RO,46.4333,26.4,48.4,65,100,5.64,overcast clouds
285,Torquay,GB,50.4638,-3.5143,64.58,59,68,1.01,broken clouds
286,Prince Rupert,CA,54.3161,-130.3201,46.09,81,90,13.8,light rain
287,Hebi,CN,35.8992,114.1925,55.06,86,100,4.25,light rain
288,Hamilton,US,39.1834,-84.5333,75.36,81,75,1.01,broken clouds
289,North Port,US,27.0442,-82.2359,93.22,63,50,6.38,scattered clouds
290,Baoning,CN,25.3378,110.026,69.66,78,0,8.95,clear sky
291,Kencong,ID,-8.2833,113.3667,73.67,82,17,1.28,few clouds
292,Dzilam Gonzalez,MX,21.2833,-88.9333,86.13,62,100,4.03,overcast clouds
293,De-Kastri,RU,51.4667,140.7833,40.24,61,100,5.08,overcast clouds
294,Guatavita,CO,4.9366,-73.8331,64.11,51,46,8.93,scattered clouds
295,Antalaha,MG,-14.9003,50.2788,72.55,73,59,2.04,broken clouds
296,Fort Nelson,CA,58.8053,-122.7002,26.19,93,20,4.61,few clouds
297,Saint George,US,37.1041,-113.5841,75.67,50,1,1.99,clear sky
298,Buraydah,SA,26.326,43.975,91.85,15,0,10.42,clear sky
